Task ID, Epic           , Story                                    , Status     , Priority, Start Date, End Date, Estimated Hours, Actual Hours, Notes
      1, Setup          , Set up GitHub repository                 , Not Started, High    ,           ,         ,               2,             , 
      2, Setup          , Create Firebase project and get API keys , Not Started, High    ,           ,         ,               3,             , 
      3, Setup          , Create basic project structure           , Not Started, High    ,           ,         ,               2,             , 
      4, Authentication , Implement Google login with Firebase Auth, Not Started, High    ,           ,         ,               4,             , 
      5, Core Features  , Show list of components with quantities  , Not Started, High    ,           ,         ,               4,             , 
      6, Core Features  , Add buttons to update component quantities, Not Started, High    ,           ,         ,               3,             , 
      7, Future Features, Add zone selection dropdown              , Not Started, Low     ,           ,         ,               3,             , 
      8, Future Features, Add CSV upload functionality for BOMs    , Not Started, Low     ,           ,         ,               5,             , 
      9, Future Features, Add CSV export for reports               , Not Started, Low     ,           ,         ,               3,             , 
     10, Deployment     , Set up Firebase Hosting                  , Not Started, Low     ,           ,         ,               2,             , 
     11, Testing        , Test on mobile devices                   , Not Started, Medium  ,           ,         ,               4,             , 
     12, Polish         , Add user role management                 , Not Started, Low     ,           ,         ,               6,             , 